TF	statistic	pvalue	zscore	max_auc	re_rank	irwin_hall_pvalue
CRY1	-1.525	9.363e-01	-0.621	0.549	0.724	9.050e-01
ZBTB16	-1.661	9.516e-01	-2.344	0.679	0.725	9.068e-01
ZNF649	-1.730	9.582e-01	-0.283	0.486	0.725	9.068e-01
BACH1	-0.803	7.889e-01	-2.604	0.651	0.726	9.076e-01
ADNP	-0.605	7.273e-01	-2.455	0.634	0.726	9.076e-01
ZNF823	-1.439	9.249e-01	-0.768	0.559	0.727	9.079e-01
ILK	-1.645	9.500e-01	-0.882	0.590	0.727	9.079e-01
ZBED1	-0.971	8.342e-01	-1.752	0.618	0.727	9.087e-01
PRDM10	-0.532	7.025e-01	-2.582	0.632	0.727	9.087e-01
SMAD2-SMAD3	-2.127	9.833e-01	-1.298	0.639	0.728	9.090e-01
ID3	-0.300	6.178e-01	-3.210	0.641	0.728	9.097e-01
PHOX2B	-1.699	9.554e-01	-0.379	0.517	0.728	9.097e-01
ASCL1	-4.378	1.000e+00	-0.748	0.627	0.729	9.101e-01
NR4A1	-1.266	8.972e-01	-2.559	0.670	0.729	9.101e-01
ZNF600	-0.559	7.119e-01	-2.569	0.632	0.729	9.105e-01
ZNF121	-0.864	8.062e-01	-3.539	0.667	0.735	9.160e-01
SOX11	-2.062	9.804e-01	-0.723	0.580	0.737	9.181e-01
TSC22D4	-2.148	9.841e-01	-1.157	0.621	0.737	9.184e-01
FUS	-1.025	8.474e-01	-1.765	0.615	0.738	9.187e-01
TTF1	-1.281	8.999e-01	-1.420	0.605	0.738	9.194e-01
JARID2	-4.378	1.000e+00	-0.714	0.615	0.739	9.204e-01
BAHD1	-2.649	9.960e-01	-0.371	0.562	0.739	9.204e-01
CTNNB1	-1.657	9.512e-01	-0.625	0.530	0.740	9.207e-01
EWSR1	-1.724	9.576e-01	-1.426	0.630	0.740	9.211e-01
ZNF317	-2.498	9.938e-01	-0.475	0.563	0.743	9.233e-01
IRF9	-1.201	8.852e-01	-1.562	0.607	0.743	9.233e-01
ARNT	-0.849	8.022e-01	-3.792	0.663	0.743	9.240e-01
SMAD3	-4.278	1.000e+00	-1.262	0.647	0.745	9.256e-01
ZNF486	-2.436	9.926e-01	-0.289	0.505	0.746	9.262e-01
HIRA	-1.999	9.772e-01	-1.653	0.646	0.746	9.265e-01
ZNF257	-0.594	7.237e-01	-2.478	0.619	0.746	9.265e-01
GATA1	-6.653	1.000e+00	-2.129	0.690	0.747	9.271e-01
IRF4	-2.885	9.980e-01	-1.521	0.656	0.747	9.274e-01
TERF2	-0.843	8.003e-01	-2.002	0.606	0.747	9.274e-01
CREB3	-0.565	7.138e-01	-3.061	0.633	0.748	9.277e-01
PSIP1	-1.041	8.511e-01	-2.642	0.650	0.748	9.280e-01
NCOR2	-1.231	8.908e-01	-1.966	0.629	0.750	9.293e-01
MEF2A	-1.218	8.884e-01	-2.139	0.634	0.750	9.293e-01
ZNF766	-1.213	8.874e-01	-2.063	0.631	0.750	9.299e-01
TFAP2A	-2.635	9.958e-01	-1.522	0.647	0.753	9.320e-01
PRMT5	-0.973	8.346e-01	-1.850	0.599	0.754	9.332e-01
RING1	-1.769	9.615e-01	-1.432	0.620	0.754	9.332e-01
PAX5	-2.920	9.982e-01	-2.000	0.671	0.756	9.346e-01
TLX1	-1.236	8.919e-01	-1.419	0.581	0.756	9.346e-01
ZNF318	-1.020	8.461e-01	-2.495	0.632	0.760	9.375e-01
FOXH1	-2.105	9.824e-01	-0.931	0.571	0.761	9.383e-01
WWTR1	-1.757	9.606e-01	-1.134	0.583	0.761	9.386e-01
ZNF445	-1.576	9.425e-01	-1.022	0.542	0.762	9.391e-01
BCOR	-1.116	8.679e-01	-3.213	0.657	0.763	9.402e-01
HNF4A	-3.403	9.997e-01	-1.398	0.642	0.763	9.402e-01
HMG20A	-1.515	9.351e-01	-1.105	0.550	0.765	9.413e-01
TCF12	-2.498	9.938e-01	-3.461	0.695	0.765	9.416e-01
NOTCH3	-1.650	9.505e-01	-0.942	0.531	0.765	9.416e-01
STAT5A	-1.189	8.827e-01	-2.141	0.619	0.766	9.424e-01
PTRF	-1.584	9.434e-01	-1.415	0.593	0.766	9.426e-01
MAFF	-1.781	9.625e-01	-1.247	0.584	0.767	9.432e-01
SFPQ	-1.716	9.570e-01	-0.914	0.506	0.769	9.442e-01
RBL1	-0.982	8.369e-01	-2.101	0.599	0.770	9.455e-01
HOXA9	-2.041	9.794e-01	-1.139	0.581	0.771	9.458e-01
LMO1	-0.889	8.129e-01	-2.340	0.604	0.771	9.458e-01
ZNF425	-0.746	7.722e-01	-2.638	0.611	0.772	9.465e-01
HCFC1R1	-1.645	9.500e-01	-1.053	0.532	0.772	9.468e-01
SOX10	-1.629	9.483e-01	-1.074	0.535	0.773	9.475e-01
TERF1	-1.077	8.593e-01	-1.968	0.593	0.774	9.480e-01
PTTG1	-1.647	9.502e-01	-1.406	0.588	0.776	9.493e-01
MYF5	-0.751	7.737e-01	-2.714	0.611	0.777	9.500e-01
HLF	-1.909	9.719e-01	-1.205	0.571	0.777	9.500e-01
EBNA3C	-2.560	9.948e-01	-0.994	0.573	0.778	9.505e-01
ZNF320	-1.607	9.460e-01	-1.732	0.604	0.780	9.519e-01
CDCA2	-1.695	9.550e-01	-1.071	0.518	0.781	9.528e-01
SMAD2	-3.051	9.989e-01	-0.925	0.572	0.783	9.538e-01
MEF2B	-4.261	1.000e+00	-1.326	0.620	0.783	9.540e-01
NFE2L1	-2.671	9.962e-01	-1.058	0.575	0.784	9.547e-01
CNOT3	-1.641	9.496e-01	-1.526	0.588	0.785	9.551e-01
EBNA3	-1.558	9.404e-01	-1.325	0.545	0.785	9.553e-01
TP63	-8.219	1.000e+00	-1.434	0.635	0.785	9.556e-01
SIX2	-3.543	9.998e-01	-0.829	0.567	0.785	9.556e-01
TAZ	-0.701	7.583e-01	-3.073	0.613	0.786	9.558e-01
ZNF534	-0.870	8.077e-01	-2.647	0.605	0.786	9.560e-01
NR2F2	-2.264	9.882e-01	-2.311	0.651	0.787	9.564e-01
TBX21	-2.071	9.808e-01	-1.561	0.606	0.788	9.569e-01
C11orf30	-1.150	8.748e-01	-2.612	0.618	0.793	9.599e-01
ZFP57	-2.380	9.913e-01	-1.016	0.532	0.793	9.603e-01
HMBOX1	-1.023	8.468e-01	-2.399	0.596	0.794	9.607e-01
NME2	-2.414	9.921e-01	-0.969	0.517	0.794	9.607e-01
TEAD1	-3.425	9.997e-01	-0.936	0.563	0.794	9.609e-01
ZNF506	-1.401	9.194e-01	-1.647	0.563	0.794	9.609e-01
PRDM1	-1.839	9.670e-01	-2.200	0.630	0.795	9.611e-01
ZNF22	-1.718	9.571e-01	-1.233	0.505	0.795	9.613e-01
ZNF512	-2.204	9.862e-01	-1.116	0.547	0.796	9.615e-01
RUNX3	-1.339	9.097e-01	-1.830	0.570	0.801	9.643e-01
ZIM3	-2.189	9.857e-01	-1.247	0.548	0.801	9.647e-01
ZNF479	-1.003	8.420e-01	-2.632	0.598	0.803	9.656e-01
SNAI2	-3.295	9.995e-01	-2.286	0.654	0.803	9.658e-01
ZNF597	-1.269	8.977e-01	-2.039	0.577	0.805	9.664e-01
ZNF28	-1.229	8.904e-01	-2.150	0.581	0.805	9.666e-01
LDB1	-1.501	9.333e-01	-1.638	0.552	0.805	9.666e-01
DACOR1	-1.677	9.533e-01	-1.367	0.525	0.805	9.668e-01
SPIB	-3.167	9.992e-01	-1.747	0.624	0.806	9.671e-01
SOX4	-1.882	9.701e-01	-1.785	0.596	0.806	9.671e-01
MEF2D	-1.079	8.596e-01	-3.025	0.612	0.808	9.682e-01
L3MBTL2	-0.974	8.350e-01	-3.858	0.621	0.808	9.682e-01
SCRT2	-0.996	8.403e-01	-3.316	0.614	0.809	9.686e-01
SRCAP	-1.431	9.238e-01	-1.788	0.560	0.809	9.687e-01
ZTA	-2.330	9.901e-01	-1.296	0.540	0.813	9.706e-01
ZNF563	-1.253	8.948e-01	-2.232	0.579	0.813	9.706e-01
EPAS1	-1.297	9.027e-01	-2.144	0.574	0.813	9.708e-01
LEO1	-0.774	7.807e-01	-4.318	0.610	0.814	9.711e-01
ZNF384	-2.328	9.900e-01	-1.771	0.599	0.816	9.721e-01
LMNB1	-1.509	9.344e-01	-1.821	0.551	0.819	9.733e-01
ING5	-0.956	8.304e-01	-3.373	0.600	0.820	9.739e-01
ZNF485	-1.513	9.349e-01	-1.837	0.551	0.822	9.745e-01
ZNF284	-1.626	9.480e-01	-1.687	0.535	0.822	9.747e-01
NFKB1	-1.923	9.728e-01	-2.580	0.627	0.822	9.747e-01
IRF5	-1.703	9.557e-01	-1.517	0.515	0.822	9.748e-01
MTA2	-2.266	9.883e-01	-2.730	0.638	0.828	9.771e-01
MAFG	-1.988	9.766e-01	-1.822	0.564	0.835	9.797e-01
MYOG	-2.307	9.895e-01	-1.526	0.537	0.836	9.802e-01
IKZF2	-1.384	9.168e-01	-3.027	0.604	0.837	9.803e-01
ZNF793	-1.993	9.769e-01	-1.933	0.574	0.837	9.806e-01
ZNF75D	-2.351	9.906e-01	-1.504	0.529	0.838	9.808e-01
EGR3	-1.325	9.074e-01	-2.507	0.571	0.838	9.810e-01
JMJD1C	-2.140	9.838e-01	-2.674	0.623	0.839	9.811e-01
DPPA2	-1.469	9.291e-01	-2.217	0.555	0.839	9.814e-01
CDK2	-2.240	9.875e-01	-1.733	0.554	0.840	9.817e-01
FANCD2	-1.555	9.400e-01	-2.121	0.545	0.843	9.827e-01
TBX5	-3.547	9.998e-01	-1.430	0.555	0.844	9.831e-01
ZNF436	-1.669	9.524e-01	-1.872	0.526	0.845	9.832e-01
FOXO1	-2.746	9.970e-01	-1.926	0.592	0.845	9.833e-01
RXRG	-2.009	9.777e-01	-3.467	0.632	0.848	9.842e-01
SND1	-2.463	9.931e-01	-1.832	0.568	0.849	9.844e-01
TCF7L1	-2.991	9.986e-01	-3.464	0.651	0.849	9.845e-01
MEIS1	-2.781	9.973e-01	-1.643	0.553	0.849	9.845e-01
RUNX1T1	-2.823	9.976e-01	-3.152	0.645	0.850	9.848e-01
MYB	-3.320	9.995e-01	-2.300	0.615	0.853	9.857e-01
EBNA2	-1.488	9.316e-01	-2.469	0.553	0.856	9.865e-01
ETV6	-2.594	9.953e-01	-1.926	0.568	0.858	9.871e-01
TCF21	-2.854	9.978e-01	-1.841	0.568	0.858	9.872e-01
BACH2	-2.408	9.920e-01	-2.528	0.603	0.860	9.877e-01
NFKB2	-1.954	9.747e-01	-2.394	0.571	0.863	9.885e-01
TERC	-3.366	9.996e-01	-1.569	0.527	0.864	9.887e-01
ZNF770	-1.200	8.848e-01	-4.320	0.584	0.866	9.893e-01
PKNOX1	-1.515	9.351e-01	-4.085	0.595	0.875	9.912e-01
MITF	-2.767	9.972e-01	-3.147	0.618	0.880	9.922e-01
NR2F6	-2.164	9.848e-01	-3.475	0.607	0.881	9.924e-01
HOTAIR	-3.349	9.996e-01	-1.884	0.536	0.883	9.928e-01
RELB	-2.670	9.962e-01	-2.534	0.584	0.884	9.930e-01
MYOD1	-2.533	9.943e-01	-2.381	0.565	0.884	9.930e-01
NEUROG2	-4.806	1.000e+00	-2.262	0.584	0.885	9.931e-01
SKI	-1.418	9.219e-01	-3.469	0.561	0.885	9.931e-01
LYL1	-3.969	1.000e+00	-1.945	0.549	0.887	9.935e-01
STAT4	-2.116	9.828e-01	-2.952	0.574	0.891	9.941e-01
EED	-2.964	9.985e-01	-2.646	0.590	0.893	9.944e-01
LMO2	-3.148	9.992e-01	-2.683	0.593	0.893	9.945e-01
SMARCE1	-2.040	9.793e-01	-4.626	0.605	0.893	9.945e-01
ZNF92	-1.529	9.369e-01	-3.687	0.549	0.900	9.956e-01
EBF1	-2.939	9.984e-01	-2.952	0.588	0.903	9.959e-01
NR2F1	-2.524	9.942e-01	-3.809	0.599	0.905	9.962e-01
IKZF1	-4.808	1.000e+00	-3.531	0.607	0.915	9.972e-01
